,date,sales_usd,product_description,client_name,sales_agent_name,dates_well
398,5,790543.8435,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-06
399,5,994194.9659,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-06
3350,5,548390.5233,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-06
2,5,596724.6841,Producto G,Quesillos S.C.,Guillermo Ochoa,2020-01-06
3349,5,6033.645015,Producto G,Quesillos S.C.,Uriel Antuna,2020-01-06
3355,5,5182580.095,Producto D,Arbolitos Unidos de México S.A. de C.V.,Uriel Antuna,2020-01-06
3354,5,2130158.268,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-06
3353,5,856020.9911,Producto E,Libros al por Mayor S.A.P.I de C.V.,Uriel Antuna,2020-01-06
3352,5,807702.9894,Producto D,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-06
3364,6,1263162.699,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-07
3361,6,282459.6924,Producto E,Arbolitos Unidos de México S.A. de C.V.,Uriel Antuna,2020-01-07
3360,6,111431.0569,Producto H,Pescaditos SA de CV,Uriel Antuna,2020-01-07
3359,6,60033.918439999994,Producto G,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-07
3358,6,26342.01156,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-07
3363,6,1225087.379,Producto E,Libros al por Mayor S.A.P.I de C.V.,Uriel Antuna,2020-01-07
3362,6,315230.4242,Producto E,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-07
2736,6,4136772.817,Producto G,Jamonsitos SAPI de CV,Edson Álvarez,2020-01-07
3356,6,14019.577980000002,Producto G,Quesillos S.C.,Uriel Antuna,2020-01-07
1036,6,2035950.4530000002,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-07
1033,6,523982.6328,Producto E,Libros al por Mayor S.A.P.I de C.V.,Raul Jimenez,2020-01-07
1032,6,401275.8823,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-07
1031,6,288362.9531,Producto F,Libros al por Mayor S.A.P.I de C.V.,Raul Jimenez,2020-01-07
1030,6,80003.05894,Producto E,Pescaditos SA de CV,Raul Jimenez,2020-01-07
1029,6,-19168.81015,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-07
2154,6,254714.5502,Producto E,Carpinteros Unidos del Bajio,Santiago Gim´'enez,2020-01-07
2735,6,1069340.223,Producto E,Jamonsitos SAPI de CV,Edson Álvarez,2020-01-07
3357,6,18810.726730000002,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-07
1035,6,704449.2308,Producto C,Pescaditos SA de CV,Raul Jimenez,2020-01-07
1730,6,105149.51199999999,Producto F,Arbolitos Unidos de México S.A. de C.V.,Jose Juan Macias,2020-01-07
1732,6,1839460.091,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-07
3,6,599123.5786,Producto G,Quesillos S.C.,Guillermo Ochoa,2020-01-07
402,6,560901.3432,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-07
401,6,444760.0726,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-07
400,6,124450.5174,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-07
1731,6,1138705.835,Producto E,Libros al por Mayor S.A.P.I de C.V.,Jose Juan Macias,2020-01-07
1034,6,558836.3295,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-07
3368,7,1218524.56,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-08
3367,7,1083232.457,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-08
3366,7,233704.6896,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-08
3365,7,14206.523280000001,Producto G,Quesillos S.C.,Uriel Antuna,2020-01-08
3369,7,1296023.747,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-08
4,7,325413.5112,Producto G,Quesillos S.C.,Guillermo Ochoa,2020-01-08
2737,7,311860.9677,Producto G,Jamonsitos SAPI de CV,Edson Álvarez,2020-01-08
1038,7,653892.8647,Producto E,Libros al por Mayor S.A.P.I de C.V.,Raul Jimenez,2020-01-08
2738,7,1510584.552,Producto F,Arbolitos Unidos de México S.A. de C.V.,Edson Álvarez,2020-01-08
1733,7,616077.3051,Producto E,Libros al por Mayor S.A.P.I de C.V.,Jose Juan Macias,2020-01-08
1734,7,1330495.748,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-08
405,7,2511004.566,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-08
404,7,460113.4642,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-08
1037,7,-74082.76604,Producto C,Pescaditos SA de CV,Raul Jimenez,2020-01-08
2155,7,166328.6087,Producto E,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-08
2156,7,479823.2742,Producto H,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-08
1039,7,1554060.5590000001,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-08
403,7,278184.1163,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-08
407,8,398510.1427,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-09
2157,8,15145.095159999999,Producto H,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-09
2158,8,101998.5521,Producto E,Libros al por Mayor S.A.P.I de C.V.,Santiago Gim´'enez,2020-01-09
2159,8,250285.3245,Producto E,Libros al por Mayor S.A.P.I de C.V.,Santiago Gim´'enez,2020-01-09
2740,8,1142870.797,Producto F,Arbolitos Unidos de México S.A. de C.V.,Edson Álvarez,2020-01-09
2739,8,468197.1866,Producto G,Jamonsitos SAPI de CV,Edson Álvarez,2020-01-09
406,8,305791.7341,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-09
3373,8,245134.0861,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-09
3371,8,8811.677131999999,Producto G,Quesillos S.C.,Uriel Antuna,2020-01-09
1040,8,49252.07866,Producto E,Pescaditos SA de CV,Raul Jimenez,2020-01-09
1041,8,1002225.3809999999,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-09
1042,8,1327372.513,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-09
5,8,944862.6159,Producto G,Quesillos S.C.,Guillermo Ochoa,2020-01-09
1735,8,905214.7875,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-09
3370,8,-41667.61045,Producto E,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-09
2160,8,461330.2775,Producto E,Carpinteros Unidos del Bajio,Santiago Gim´'enez,2020-01-09
3375,8,1089674.489,Producto G,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-09
3376,8,1154588.664,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-09
3377,8,1229953.686,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-09
3374,8,458859.8463,Producto I,Libros al por Mayor S.A.P.I de C.V.,Uriel Antuna,2020-01-09
3372,8,29957.7641,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-09
2161,8,691427.4929,Producto E,Carpinteros Unidos del Bajio,Santiago Gim´'enez,2020-01-09
3379,9,6764.968059000001,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-10
1736,9,705478.4683,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-10
3378,9,5728.577188,Producto G,Quesillos S.C.,Uriel Antuna,2020-01-10
409,9,353830.9865,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-10
410,9,392006.5526,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-10
411,9,550568.6521,Producto E,Pescaditos SA de CV,Raul Jimenez,2020-01-10
6,9,599805.968,Producto G,Quesillos S.C.,Guillermo Ochoa,2020-01-10
1044,9,1670355.261,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-10
1043,9,308150.1702,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-10
408,9,223804.4041,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-10
3380,9,1259911.076,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-10
3381,9,1701327.5219999999,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-10
3382,9,1866946.341,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-10
980,9,1096994.731,Producto E,Libros al por Mayor S.A.P.I de C.V.,Raul Jimenez,2020-01-10
3384,10,51202.60202,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-11
1046,10,863884.275,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-11
7,10,162301.0925,Producto G,Quesillos S.C.,Guillermo Ochoa,2020-01-11
3386,10,7809037.631,Producto E,Libros al por Mayor S.A.P.I de C.V.,Uriel Antuna,2020-01-11
3385,10,310004.6134,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-11
1045,10,23837.7575,Producto E,Pescaditos SA de CV,Raul Jimenez,2020-01-11
3383,10,10634.4061,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-11
1737,10,286405.5671,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-11
3387,11,64705.363139999994,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-12
2164,12,680914.3709999999,Producto H,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-13
2162,12,191709.253,Producto E,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-13
2163,12,399265.3913,Producto E,Carpinteros Unidos del Bajio,Santiago Gim´'enez,2020-01-13
1047,12,153961.1864,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-13
412,12,77806.91262999999,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-13
1048,12,592982.1181,Producto F,Libros al por Mayor S.A.P.I de C.V.,Raul Jimenez,2020-01-13
1738,12,779409.6324,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-13
3392,12,193887.9863,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-13
3388,12,7614.312183,Producto G,Quesillos S.C.,Uriel Antuna,2020-01-13
3389,12,11723.36183,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-13
3390,12,77199.59531,Producto G,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-13
3391,12,137109.6131,Producto E,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-13
1049,12,871538.3937,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-13
3393,12,468108.6311,Producto E,Arbolitos Unidos de México S.A. de C.V.,Uriel Antuna,2020-01-13
3394,12,1067976.8,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-13
8,12,215098.3955,Producto G,Quesillos S.C.,Guillermo Ochoa,2020-01-13
3395,12,1980723.985,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-13
2742,12,2075138.124,Producto G,Jamonsitos SAPI de CV,Edson Álvarez,2020-01-13
2741,12,1086968.8159999999,Producto F,Arbolitos Unidos de México S.A. de C.V.,Edson Álvarez,2020-01-13
9,13,683381.5437,Producto G,Quesillos S.C.,Guillermo Ochoa,2020-01-14
414,13,1199333.2340000002,Producto F,Arbolitos Unidos de México S.A. de C.V.,Raul Jimenez,2020-01-14
1739,13,883302.6688,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-14
981,13,4794895.879,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-14
415,13,2941885.78,Producto E,Quesillos S.C.,Raul Jimenez,2020-01-14
413,13,321642.002,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-14
1050,13,1144479.519,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-14
2743,13,1458916.084,Producto E,Jamonsitos SAPI de CV,Edson Álvarez,2020-01-14
2744,13,7757326.341,Producto G,Jamonsitos SAPI de CV,Edson Álvarez,2020-01-14
3396,13,3550.300829,Producto E,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-14
3397,13,11478.261390000001,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-14
3398,13,22277.83913,Producto G,Quesillos S.C.,Uriel Antuna,2020-01-14
3399,13,194025.2529,Producto G,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-14
3400,13,701720.5391,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-14
3401,13,828817.7106,Producto E,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-14
3402,13,1077398.252,Producto E,Arbolitos Unidos de México S.A. de C.V.,Uriel Antuna,2020-01-14
3406,13,17484883.98,Producto D,Libros al por Mayor S.A.P.I de C.V.,Uriel Antuna,2020-01-14
3405,13,3042158.2410000004,Producto E,Arbolitos Unidos de México S.A. de C.V.,Uriel Antuna,2020-01-14
3403,13,1217974.462,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-14
3404,13,2498531.587,Producto E,Libros al por Mayor S.A.P.I de C.V.,Uriel Antuna,2020-01-14
2166,14,392194.8664,Producto E,Carpinteros Unidos del Bajio,Santiago Gim´'enez,2020-01-15
3407,14,4193.5735030000005,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-15
3408,14,10449.23343,Producto G,Quesillos S.C.,Uriel Antuna,2020-01-15
3409,14,23483.326719999997,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-15
3410,14,88069.71,Producto G,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-15
3411,14,1206003.854,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-15
1053,14,2027929.4419999998,Producto E,Libros al por Mayor S.A.P.I de C.V.,Raul Jimenez,2020-01-15
416,14,167858.0192,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-15
1052,14,689793.8516,Producto C,Pescaditos SA de CV,Raul Jimenez,2020-01-15
2165,14,87379.03034,Producto E,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-15
1740,14,1740746.392,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-15
417,14,218647.8403,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-15
2167,14,488296.3027,Producto H,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-15
10,14,863430.23,Producto G,Quesillos S.C.,Guillermo Ochoa,2020-01-15
2745,14,1294570.064,Producto F,Arbolitos Unidos de México S.A. de C.V.,Edson Álvarez,2020-01-15
418,14,825409.8662,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-15
1051,14,345999.6494,Producto F,Libros al por Mayor S.A.P.I de C.V.,Raul Jimenez,2020-01-15
1055,15,639989.8881,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-16
1054,15,174061.9721,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-16
422,15,2809574.579,Producto E,Pescaditos SA de CV,Raul Jimenez,2020-01-16
421,15,1363854.0080000001,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-16
420,15,279519.2502,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-16
419,15,263609.644,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-16
3413,15,6621.663402,Producto G,Quesillos S.C.,Uriel Antuna,2020-01-16
3421,15,1054344.459,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-16
3420,15,999764.9355,Producto E,Libros al por Mayor S.A.P.I de C.V.,Uriel Antuna,2020-01-16
3419,15,927080.3054,Producto E,Libros al por Mayor S.A.P.I de C.V.,Uriel Antuna,2020-01-16
3418,15,409942.731,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-16
3417,15,360274.3351,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-16
3416,15,347603.9878,Producto E,Libros al por Mayor S.A.P.I de C.V.,Uriel Antuna,2020-01-16
3415,15,303023.9597,Producto D,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-16
3414,15,192526.31100000002,Producto G,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-16
3422,15,1209085.762,Producto E,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-16
1057,15,3629795.4680000003,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-16
1056,15,1107689.232,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-16
1742,15,1449830.8469999998,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-16
11,15,820240.6801,Producto G,Quesillos S.C.,Guillermo Ochoa,2020-01-16
3412,15,5952.873993,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-16
1741,15,2137.702472,Producto F,Arbolitos Unidos de México S.A. de C.V.,Jose Juan Macias,2020-01-16
2746,15,19162.889030000002,Producto G,Jamonsitos SAPI de CV,Edson Álvarez,2020-01-16
3424,16,57433.057389999994,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-17
3425,16,378758.0356,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-17
3426,16,744279.115,Producto E,Arbolitos Unidos de México S.A. de C.V.,Uriel Antuna,2020-01-17
3427,16,1450238.6409999998,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-17
3428,16,2282097.028,Producto E,Libros al por Mayor S.A.P.I de C.V.,Uriel Antuna,2020-01-17
3429,16,2578315.171,Producto E,Libros al por Mayor S.A.P.I de C.V.,Uriel Antuna,2020-01-17
1059,16,1710608.858,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-17
12,16,603080.4384,Producto G,Quesillos S.C.,Guillermo Ochoa,2020-01-17
2168,16,330177.6097,Producto E,Libros al por Mayor S.A.P.I de C.V.,Santiago Gim´'enez,2020-01-17
423,16,185985.3721,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-17
427,16,792062.3432,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-17
426,16,495379.7362,Producto E,Libros al por Mayor S.A.P.I de C.V.,Raul Jimenez,2020-01-17
3430,16,8484683.896,Producto D,Arbolitos Unidos de México S.A. de C.V.,Uriel Antuna,2020-01-17
3423,16,18806.07433,Producto G,Quesillos S.C.,Uriel Antuna,2020-01-17
424,16,240028.7192,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-17
1058,16,408566.9849,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-17
425,16,316783.2682,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-17
1743,16,1447066.426,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-17
2747,17,673869.1371,Producto G,Jamonsitos SAPI de CV,Edson Álvarez,2020-01-18
428,17,119400.2199,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-18
2169,17,73282.62659,Producto H,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-18
3434,17,615419.4717,Producto E,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-18
3433,17,397841.8492,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-18
3431,17,8323.28792,Producto G,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-18
1060,17,777195.1429999999,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-18
1744,17,350868.3767,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-18
13,17,422054.2692,Producto G,Quesillos S.C.,Guillermo Ochoa,2020-01-18
3432,17,46413.87011,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-18
2748,19,89359.159,Producto F,Arbolitos Unidos de México S.A. de C.V.,Edson Álvarez,2020-01-20
1061,19,78831.4034,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-20
2749,19,596448.4871,Producto G,Jamonsitos SAPI de CV,Edson Álvarez,2020-01-20
429,19,239224.0083,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-20
430,19,919981.0281,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-20
431,19,1855824.1069999998,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-20
1062,19,128062.3167,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-20
1063,19,424293.1543,Producto C,Pescaditos SA de CV,Raul Jimenez,2020-01-20
2170,19,67535.93759,Producto E,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-20
1064,19,711513.4796,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-20
3443,19,2462125.022,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-20
3442,19,1323860.242,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-20
14,19,129117.9248,Producto G,Quesillos S.C.,Guillermo Ochoa,2020-01-20
1745,19,886180.5971,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-20
3440,19,476223.2428,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-20
3439,19,140741.6391,Producto E,Arbolitos Unidos de México S.A. de C.V.,Uriel Antuna,2020-01-20
3438,19,50250.91665,Producto I,Pescaditos SA de CV,Uriel Antuna,2020-01-20
3437,19,25944.16467,Producto G,Quesillos S.C.,Uriel Antuna,2020-01-20
3436,19,15023.32296,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-20
3435,19,2054.643359,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-20
2171,19,799953.6351,Producto H,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-20
3441,19,488904.0646,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-20
